,18L,36R,01,19,18R,36L
251,3229.447387510399,2759.5135055039245,4752.411933324945,4339.454430838611,4380.650946000319,1364.7295721818557
252,3171.389599340214,2701.45571733374,4694.354145154759,4281.396642668426,4322.593157830133,1306.6717840116698
W101,4898.669453532169,1395.594063097226,4557.993230954208,5864.318556220457,2236.521519687137,2433.8403041309566
W103,4969.135781648731,1540.5356827212677,4702.934850578249,5953.238440192884,2116.241763365828,2370.0587359897168
W104,5014.213044600193,1620.9256163778714,4779.941512718213,5998.315703144346,2036.6857301458772,2290.5027027697665
W105,5092.112993154629,1698.825564932307,4857.841461272649,6076.215651698783,1957.884662196684,2211.701634820573
W106,5169.870206711833,1776.582778489511,4935.598674829853,6153.972865255986,1887.4853466237123,2141.3023192476016
W107,5240.728601297358,1847.4411730750369,5006.457069415378,6224.831259841511,1807.5785198452693,2061.3954924691584
W302,4691.246388460685,1798.0248063973231,4480.09746490116,5675.349047004838,2636.4402312421776,2030.3450912748028
W311,4780.4369780751895,1536.9464451221388,4569.288054515664,5764.539636619343,2375.3618699669937,2270.2052501264147
W310,4763.236750363443,1870.0151683000804,4552.087826803918,5747.339408907596,2708.430593144935,2013.2003005293495
W309,4835.922723287945,1942.7011412245813,4624.773799728419,5820.025381832098,2701.9486784408323,1941.5085610307167
W308,4907.467252729987,2014.245670666624,4696.318329170462,5891.56991127414,2628.479726422508,1868.0396090123936
W307,4914.353053201121,2021.131471137758,4703.204129641596,5898.455711745274,2580.6345127042346,1820.19439529412
W306,4862.793803128063,1969.5722210647,4651.644879568537,5846.896461672216,2621.9915407848102,1861.551423374696
W305,4818.900079932875,1925.678497869512,4607.75115637335,5803.002738477028,2664.3002650604976,1903.8601476503827
W304,4776.6891615331415,1883.4675794697785,4565.540237973616,5760.791820077295,2707.4000568779898,1946.9599394678748
W303,4734.22145294242,1840.9998708790572,4523.072529382895,5718.324111486573,2679.415295723912,1988.2331019549172
W301,4448.644144287996,1757.1791371833524,4237.495220728471,5432.746802832149,2665.897493388697,1938.4124163392205
817,4636.115006683029,2155.943859062796,4427.153005014687,5620.217665227179,2618.8402126825954,1224.6617191913472
816,4584.360504539975,2104.189356919742,4375.398502871632,5568.463163084125,2678.323873489761,1284.145379998513
A106,4112.864729196606,1632.693581576373,3903.9027275282624,5096.967387740757,3019.0236019908816,1791.5312366686092
