,18L,36R,01,19,18R,36L
307,2369.780491177863,4660.400987807001,4389.059592505313,779.9557058645275,7764.232393235735,4944.483279054298
302,2640.8405647300647,4931.461061359202,4522.096868214658,834.1463823101647,8035.292466787936,5215.543352606499
405,2103.5488248484667,3627.8349479316576,3363.8819125528107,1469.1249492496731,6731.66635336039,3959.548713712014
455,1627.185879606724,3150.922599696371,3803.7560008178143,1901.7375368002824,6254.754005125104,3471.416656316404
320,1148.155845871751,3668.782922036041,4341.510992999817,1643.0889105567785,6772.614327464771,3948.906151464781
453,1488.3238130812967,3285.886228886272,3938.719630007715,1762.8754702748552,6389.717634315005,3606.380285506305
304,2512.277441964717,4802.897938593854,4470.736665571655,824.2256461900939,7906.729344022588,5086.980229841151
321,1056.3326188784918,3695.848772337763,4368.576843301539,1670.1547608585008,6795.875649637655,3962.657435655549
313,2029.5311708801808,4320.151667509319,4048.810272207631,746.5188489513826,7423.983072938053,4604.233958756616
409,1719.8022994930848,3082.80046200739,3735.6338631288327,1994.353956686643,6186.631867436122,3403.2945186274223
327,806.8313976724835,3993.631166797566,4670.831891641676,1972.4098091986368,7079.68971748031,4246.471503498202
459,1878.6599434942768,4008.3596304391126,3509.4590505408114,1008.7568935305312,7112.191035867846,4335.704692644603
559,3227.7026991524363,1724.611878103619,2380.8644242669297,3713.564455861642,5053.5050318715785,3540.4704425904347
312,2137.2193474179,4427.839844047037,4156.498448745349,733.939085514972,7531.671249475771,4711.922135294334
310,2193.6642010836413,4484.284697712778,4212.94330241109,706.2390153604139,7588.116103141512,4768.366988960075
458,1704.7685675640691,2711.802641365299,3707.1444262167,2309.8251411226424,5815.63404679403,3032.296697985332
316,1915.7062732612976,4206.326769890436,3934.985374588747,919.8475623409636,7310.1581753191695,4490.409061137732
452,1442.3125071631755,3328.650109071877,3981.48351019332,1716.864164356734,6432.4815145006105,3649.14416569191
462,2008.6002506567968,3699.864453538011,3435.911418159164,1374.1763750580035,6803.695858966743,4031.578219318367
336,612.4170569414213,4305.945966521468,5134.439439057974,2436.017356614936,7387.551148618535,4527.448984551189
325,864.7396130490221,3906.212065745076,4581.427178840961,1883.005096397922,6992.270616427817,4159.052402445711
319,1148.6055337452826,3603.085243247505,4275.813314211281,1577.3912317682427,6706.916648676235,3883.208472676245
406,2184.357780331845,3560.8285984208974,3296.8755630420505,1549.9339047330511,6664.66000384963,3892.542364201254
306,2395.8143664588856,4686.434863088023,4415.093467786335,805.98958114555,7790.266268516757,4970.51715433532
464,2324.005338019763,3754.939844188227,3102.609798526671,1316.9630123960364,6877.87578618518,4106.939619540824
332,688.681377020497,4238.643782281566,4915.844507125673,2217.4224246826366,7324.702332964307,4491.484118982199
456,1690.910705505404,3080.3635462700977,3733.196947391541,1965.4623626989624,6184.194951698831,3400.8576028901302
454,1539.362963624082,3234.7609297188933,3887.594330840336,1813.9146208176403,6338.592335147627,3555.254986338926
311,2122.2848352481656,4412.905331877303,4141.563936575615,698.8982778584617,7516.736737306037,4696.9876231246
308,2307.9118176947886,4598.532314323926,4327.190919022238,789.0469514125604,7702.36371975266,4882.614605571223
466,2505.299384942052,3522.781406106237,2918.6789861695693,1550.167577497995,6645.717348103191,3874.7811814588345
451,1176.570094369374,3319.2513664058542,4178.2378270895015,1661.4010105484808,6423.082771834586,3599.3745958345944
303,2564.8182997746894,4855.438796403827,4523.277523381628,844.8658598557695,7959.270201832561,5139.521087651124
407,2260.4753462955773,3483.377054922673,3219.424019543826,1626.0514706967838,6587.208460351406,3815.090820703029
314,2007.3432084748624,4297.963705104,4026.622309802312,815.386401224796,7401.795110532734,4582.045996351297
337,560.1077237808825,4253.636633360929,5189.720806356234,2491.298723913196,7335.241815457996,4475.13965139065
465,2226.3304463352406,3493.8254736382,3229.872438259353,1591.906570736447,6597.656879066933,3825.539239418557
324,930.4242637019108,3878.774669005189,4553.9897821010745,1855.5676996580355,6964.833219687931,4131.615005705825
329,752.9340349494983,4081.8918399751983,4759.092564819307,2060.670482376269,7167.950390657941,4334.732176675833
328,785.896609367885,4063.619211145804,4740.819935989913,2042.3978535468743,7149.677761828547,4316.459547846439
331,666.8039101172578,4191.088631972871,4868.2893568169775,2169.8672743739407,7277.147182655612,4443.928968673504
315,1917.207149915807,4207.827646544944,3936.486251243256,853.9245508633985,7311.659051973678,4491.909937792241
309,2212.687833161427,4503.308329790565,4231.966934488877,725.2626474382001,7607.139735219299,4787.390621037862
408,1991.9201287181825,3025.47187753303,3407.049221575812,2029.03071957704,6129.303282961762,3357.185643313386
